Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"K1","Hall_Sensor","SOT-23",51.220,-91.714999,-90,bottom
"K2","Hall_Sensor","SOT-23",70.270,-91.714999,-90,bottom
"K3","Hall_Sensor","SOT-23",89.320,-91.714999,-90,bottom
